Brand name,Product name,Text Description,Price Range,Image URL,Country of manufacture,Category ,Categorization Labels,Nutritional Information,Ingredients
cleo,Cleo Clear Purifying Cleansing Gel,"Cleo Clear Purifying Cleansing Gel is a pH-adjusted facial cleanser that gently purifies the skin and regulates excess oil secretion. Enriched with micro-exfoliating LHA to unclog pores and remove dirt, excess oil, and other cellular debris that can lead to breakouts. Suitable for combination and oily skin types
How to use:

Lather gel in your hands and apply to a damp face and neck, every morning and evening.
Massage gently and leave for 1-2 minutes.
Rinse thoroughly with water",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=11,Egypt,Health & Care,Beauty - Skincare - Face - Cleanser - Exfoliating - Oil Control - Combination Skin - Oily Skin,NULL,Salicylic Acid - Niacinamide - Glycerin
cleo,Cleo Sensitive Micellar Cleansing Water,"Cleo Sensitive Micellar Cleansing Water is a gentle, all-in-one formula that removes dirt, makeup (including waterproof makeup) from the face and around the eyes. It's suitable for sensitive skin and leaves the skin feeling clean, refreshed, and hydrated without over-drying
How to use:

Lather gel in your hands and apply to a damp face and neck, every morning and evening.
Massage gently and leave for 1-2 minutes.
Rinse thoroughly with water",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=12,Egypt,Health & Care,Beauty - Skincare - Face - Makeup Remover - Micellar Water - Sensitive Skin,NULL,"Salicylic Acid - Niacinamide - Glycerin"
cleo,Cleo Clear Clarifying Toner,"Cleo Clear Clarifying Toner is a mild, alcohol-and-oil-free toner that removes traces of dirt, oil, and makeup while leaving the skin feeling fresh and clear. It's enriched with Rose Water, Aloe Vera, and Tea Tree Extract to soothe and purify the skin. Suitable for combination to oily skin types
How to use:

Apply a generous amount of the Cleo Clear Clarifying Toner to a cotton pad.
Swipe the cotton pad over your face and neck, avoiding the eye area.
Allow the toner to dry completely before applying moisturizer",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=13,Egypt,Health & Care, Beauty - Skincare - Face - Toner - Alcohol-Free - Oil-Free - Combination Skin - Oily Skin,NULL,Salicylic Acid - Witch Hazel - Aloe Vera
cleo,Cleo Makeup Hyaluronic Acid Mattifying Foundation,"Cleo Makeup Hyaluronic Acid Mattifying Foundation is a lightweight, full-coverage foundation enriched with Hyaluronic Acid for a smooth, matte, and natural finish. It provides SPF 30 broad spectrum protection against UVA and UVB rays. Suitable for all skin types (oily skin might benefit most)
How to use:

Apply a small amount of the Cleo Makeup Hyaluronic Acid Mattifying Foundation to your face and neck using a brush or sponge.
Blend the foundation evenly until it is completely absorbed.
Apply additional layers as needed to achieve the desired coverage",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=14,Egypt,Health & Care,Beauty - Makeup - Face - Foundation - Matte Finish - Full Coverage - SPF 30 - All Skin Types (Oily Skin Leaning),NULL,Hyaluronic Acid - Niacinamide - Vitamin E 
cleo,Cleo Glow Hyaluronic Acid Lightening Eye Contour Cream with Concealer,"Cleo Glow Hyaluronic Acid Lightening Eye Contour Cream with Concealer is a two-in-one product that hydrates, brightens, and conceals imperfections in the under-eye area. Formulated with Hyaluronic Acid and Vitamin C & E, it aims to reduce the appearance of dark circles, wrinkles, and puffiness. This product is fragrance-free, paraben-free, and hydroquinone-free
How to use:

Apply a small amount of Cleo Glow Hyaluronic Acid Lightening Eye Contour Cream with Concealer to the under-eye area using your ring finger. Pat gently until absorbed",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=15,Egypt,Health & Care,Beauty - Makeup - Face - Concealer - Eye Cream - Brightening - Hydrating - All Skin Types ,NULL,Hyaluronic Acid - Niacinamide - Vitamin E 
cleo,Cleo Sun Hyaluronic Acid Sun Gel Cream Dry Touch,"Cleo Hyaluronic Acid Sun Gel Cream Dry Touch (SPF 50+) is an all-in-one lightweight, oil-free formula that guarantees optimal broad-spectrum UVA/UVB protection against the harmful effects of the sun. It's formulated with Hyaluronic Acid and Vitamin E to retain moisture content and keep you hydrated and glowing all day long. Enriched with antioxidants and Pollushield technology (an anti-pollution complex) for added protection
How to use:

Apply Cleo Sun Hyaluronic Acid Sun Gel Cream Dry Touch liberally and evenly to all exposed skin 15 minutes before sun exposure. Reapply every two hours, or more often if swimming or sweating",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=16,Egypt,Health & Care,Beauty - Sunscreen - Face & Body (check the label for specific use) - Dry Touch - SPF 50+ - Broad Spectrum Protection - Hydrating - Anti-Pollution,NULL,Hyaluronic Acid - Octinoxate - Octisalate
cleo,"Cleo FEM Whitening Intimate Cleanser with Ultra Hydration
","Cleo Fem Intimate Cleanser with Ultra Hydration is a gentle, pH-balanced formula designed for daily use in the intimate area. It cleanses and soothes the skin while providing long-lasting hydration. Enriched with Manjakani extract, Rosewater, and Witch Hazel for a refreshing and comfortable feeling
How to use:

Apply a small amount of the cleansing gel to the intimate area. Wash thoroughly with water. Can be used once or twice daily",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=17,Egypt,Health & Care,Beauty - Feminine Hygiene - Intimate Cleanser - Hydrating - Soothing - pH Balanced,NULL,Lactic Acid - Aloe Vera - Witch Hazel
cleo,Cleo Sun Soothing After Sun Gel + Aloe Vera,"Cleo Sun Soothing After Sun Gel with Aloe Vera is a calming and hydrating after-sun gel enriched with Aloe Vera. It provides a refreshing feel to the skin and soothes irritation caused by sun exposure. Suitable for all skin types
How to use:

Apply a generous amount of the gel to the affected area after sun exposure. Massage gently until absorbed",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=18,Egypt,Health & Care,Beauty - Skincare - After Sun - Soothing - Hydrating - Aloe Vera - All Skin Types,NULL,Aloe vera - Vitamin E - Shea butter - Allantoin - Menthol - Panthenol
cleo,Cleo Grow Intensive Anti-Hair Loss Lotion,"A multi-targeted anti-hair loss treatment that visibly reduces hair loss, promotes new hair growth and restores the hair fibre & body and density. Reduces micro-irritation. Enriched with Aminexil, Rosemary, Saw Palmetto, Caffeine, Keratin and Biotin",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=19,Egypt,Health & Care,Beauty - Hair Care - Hair Loss Treatment - Anti-Hair Loss - Promotes Hair Growth - All Hair Types,NULL,Aminexil - Caffeine - Argan Oil 
cleo,Cleo Grow Hyaluronic Acid Hair Growth Lotion,Cleo Grow Hyaluronic Acid Hair Growth Lotion is a targeted treatment formulated with Hyaluronic Acid to hydrate the scalp and promote hair growth. It may help strengthen hair strands and improve overall hair health. Suitable for all hair types,100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=20,Egypt,Health & Care,Beauty - Hair Care - Hair Loss Treatment - Promotes Hair Growth - Hydrating - All Hair Types,NULL,Hyaluronic Acid - Aminexil - Caffeine - Biotin
cleo,Cleo Guard Anti-Dandruff Sebo-Regulating Shampoo,A powerful formula that will energize and soothe itchy and flaky scalp while regulating the production of oils and removing impurities. Enriched with added moisturizing properties to effectively deliver suppleness and softness to hair. Paraben free,100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=21,Egypt,Health & Care,Beauty - Hair Care - Dandruff Shampoo - Anti-Dandruff - Regulating - All Hair Types - Paraben Free,NULL,Tea Tree Oil - Selenium Sulfide - Zinc Pyrithione
cleo,CLEO GROW MOISTURIZING CONDITIONER 200ml,"A silicone-free conditioner that leaves hair visibly softer, smoother, and thicker. It complements anti-hair loss treatments and is enriched with Vitamin E, Coconut, Argan, Castor, and Jojoba oils for deep nourishment
How to Use:

Wash your hair with CLEO GROW MOISTURIZING SHAMPOO.
Apply CLEO GROW MOISTURIZING CONDITIONER to the ends of your hair.
Leave in for 2-3 minutes.
Rinse thoroughly",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=22,Egypt,Health & Care,Beauty - Hair Care - Conditioner - Silicone-Free - Moisturizing - Thickening - All Hair Types,NULL,"Coconut Oil - Argan Oil - Shea Butter - Coffee Extract
"
cleo,CLEO GROW ENERGIZING & HYDRATING SHAMPOO," A sulfate-free shampoo that leaves hair visibly thicker and softer. It complements anti-hair loss treatments and is enriched with Vitamin E, Coconut Oil, Argan Oil, Castor Oil, Jojoba Oil, and Olive Oil for deep nourishment
How to Use:

Wet your hair thoroughly.
Apply CLEO GROW ENERGIZING & HYDRATING SHAMPOO to your scalp and massage it in.
Rinse your hair thoroughly.
Repeat steps 2-3 if necessary",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=23,Egypt,Health & Care,Beauty - Hair Care - Shampoo - Sulfate-Free - Thickening - Hydrating - All Hair Types,NULL,"Saw Palmetto - Caffeine - Keratin
"
cleo,CLEO GROW ENERGIZING HAIR CREAM,"Cleo Grow Energizing Hair Cream is a rich hair cream formulated with Biotin, Hydrolyzed Keratin, Coconut Oil, and Argan Oil to reduce hair loss and leave hair looking smooth, soft, and shiny. It's enriched with a sun protection veil to avoid hair keratin destruction and discoloration
How to Use:

Apply a small amount of CLEO GROW ENERGIZING HAIR CREAM to your scalp and massage it in.
Leave it in for 2-3 minutes.
Rinse your hair thoroughly.
Repeat steps 2-3 if necessary",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=24,Egypt,Health & Care,Beauty - Hair Care - Hair Treatment - Hair Loss Treatment - Frizz Control - Shine - Sun Protection - All Hair Types,NULL,Coconut Oil - Argan Oil - Caffeine - Biotin - Keratin
cleo,Cleo Sun Hydrating Sunscreen Cream Broad Spectrum SPF 50+,"A moisturizing & nourishing formula that guarantees optimum broad spectrum UVA/UVB protection against the harmful effects of the sun. Enriched with antioxidants & added Pollushield technology; an anti-pollution complex
How to Use:

Apply a generous amount of the cream to all exposed skin 15 minutes before sun exposure.
Reapply every 2 hours, or after swimming, sweating, or toweling",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=25,Egypt,Health & Care,Beauty - Sunscreen - Face & Body (check the label for specific use) - Hydrating - Water Resistant - Rapid Absorbable Texture - No White Marks - Broad Spectrum Protection - SPF 50+ - All Skin Types,NULL,--
cleo,Cleo Sun Hydrating Sunscreen Cream Broad Spectrum SPF 50+,"Cleo Laboratories Sun Hydrating Sunscreen Cream Broad Spectrum SPF 50+ is a lightweight, hydrating sunscreen cream that is perfect for normal to dry skin. It is water resistant and non-comedogenic, making it a great choice for people who are looking for a sunscreen that will protect their skin from the sun's harmful rays
How to use:

Apply liberally to all exposed skin 15 minutes before sun exposure. Reapply every 2 hours, or after swimming, sweating, or toweling",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=26,Egypt,Health & Care,Beauty - Sunscreen - Face & Body (check the label for specific use) - Hydrating - Water Resistant - Rapid Absorbable Texture - No White Marks - Broad Spectrum Protection - SPF 50+ - All Skin Types,NULL,"
Octocrylene - Avobenzone - Homosalate - Octisalate - Butyl Methoxydibenzoylmethane - Titanium Dioxide - Glycerin
"
cleo,Cleo Fem Triple Action Whitening Intimate Serum,"Cleo Fem Triple Action Intimate Serum is a gentle, pH-balanced formula designed for daily use in the intimate area. It cleanses and soothes the skin while providing long-lasting hydration. Enriched with Vitamins C & E, and Manjakani extract for a refreshing and comfortable feeling
How to use:

Apply a few drops of the serum to the intimate area and massage gently until absorbed. Use twice daily for best results",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=27,Egypt,Health & Care,Beauty - Feminine Hygiene - Intimate Cleanser - Hydrating - Soothing - pH Balanced,NULL,Aqua - Alpha Arbutin - Vitamin C - Vitamin E - Licorice Extract - Manjakani Extract - Glycerin - Triethanolamine - Carbomer - Phenoxyethanol - Caprylyl Glycol - Fragrance
Seropipe, Seropipe Hair Serum," A hair serum designed to improve the look of dry, damaged hair. It is said to prevent frizzing, protect hair from split ends and UV rays, and add shine .
Ingredients: it contains Kamigen K, Kamigen E, Hinokitiol, Caffeine, Octopirox, Allantoin, Panthenol, and Alpha Tocopherol .
Benefits: Seropipe Hair Serum is advertised to improve the appearance of dry and damaged hair by adding shine, reducing frizz, and protecting hair from UV rays and split ends .
HOW TO USE:
two to three times per week

Price : The price can vary depending on the retailer,  but it retails for around 200-250EGP.
Where to Buy: You can find Seropipe Hair Serum online on retailers like SohatiCare Egypt in some beauty supply stores in Egypt .
Additional Information: It is recommended to use the serum two to three times a week after styling hair .",200-250EGP.,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=28,Egypt,Health & Care,Hair Repair - Dry Hair Treatment - Hair Care -  Beauty and Cosmetics,NULL,Kamgin K (Sophora Angustifolia extract) - Kamgin E (Isodon Trichocarpus extract) - Hinokitiol - Caffeine - amino acids
Seropipe,seropipe hair mask,"Moisturizes the hair and Promotes Health Hair Growth, Makes your hair softer and shiner, Less frizz, Moisturizes the hair, Reduces hair breakage and hair damage For a healthier scalp, Stronger hair, Less environmental and product damage .HOW TO USE:
After using shampoo, apply seropipe hair mask to wet hair from roots to tips, leave in from 3 to 5 minutes then rinse.
PRODUCT BENEFITS:
Promotes Health Hair Growth.
Price : the price of seropipe hair mask varies depending on the retailer . In Egypt , it can be purchased for around EGP 285.
Where to Buy: 
You can find Seropipe Hair Serum online on retailers like SohatiCare Egypt or in some beauty supply stores in Egypt .
HOW TO USE: 
After using shampoo, apply seropipe hair mask to wet hair from roots to tips, leave in from 3 to 5 minutes then rinse.
PRODUCT BENEFITS:
Promotes Health Hair Growth.",250-350EGP,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=29,Egypt,Health & Care,Leave-in Conditioner - Hair Care - Beauty and Cosmetics,NULL,Kamigen K(Sophora Angustifolia extract) - Kamigen E (Isodon Trichocarpus extract) - Hinokitiol - Biotin - Coffee Arabica fruit - Argan oil - Castor oil - Wheat germ oil - Coconut oil - Eruca oil - Bees wax - Panthenol
Seropipe,seropipe leave-in conditioner,"Seropipe Leave-In Conditioner is a hair care product designed to deeply nourish and hydrate hair, leaving it silky smooth and manageable.  
Claimed benefits:
Deeply nourishes and hydrates hair
Provides a protective shield against heat damage
Detangles knots and tames flyaways
Lightweight formula.",200-300EGP,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=30,Egypt,Health & Care,Leave-in Conditioner - Hair Care - Beauty and Cosmetics,NULL,"Hair masks typically don't contain significant nutritional value. You can leave the ""Nutritional Information"" section blank.
Look for an ingredients list online or on the product packaging. Common ingredients might include:
Natural oils (argan oil, castor oil, wheat germ oil, coconut oil) - for deep nourishment and hydration
Botanical extracts (centella asiatica, witch hazel) - for soothing and strengthening the scalp
Keratin - to improve hair strength and elasticity
Vitamins (Vitamin E) - for antioxidant properties"
Seropipe, seropipe hair conditioner.,"Seropipe Hair Conditioner is designed to provide a deep conditioning experience with its combination of cotton milk and specialized conditioning agents that replenish moisture to reduce frizz. With consistent use, the product delivers a nourishing finish for visibly smoother hair. HOW TO USE:
two times per week.
PRODUCT BENEFITS: 
Deep moisturization and Frizz reduction
Price and Where to Buy:
Seropipe Hair Conditioner is priced at LE 195.00 (Egyptian Pounds) and can be purchased from eParkville [online store specializing in hair care products in Egypt].
Additional Information:
It is a 200gm creamy formula conditioner.
Key ingredients include cotton milk and specialized conditioning agents.
Benefits advertised include deep moisturization, frizz reduction, and a smoother hair finish.
The conditioner is claimed to be suitable for all hair types, including normal, colored, and protein-treated hair.
It is also advertised to be free of sulfates, parabens,, and silicone.
Recommended usage is twice a week.",200-300EGP,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=31,Egypt,Health & Care,Leave-in Conditioner - Hair Care - Beauty and Cosmetics,NULL,Kamgin K (Sophora Angustifolia extract) - Kamgin E (Isodon Trichocarpus extract) - Hinokitiol - Caster oil - Vitamin E - Seed oil - Anagain - Paullinia Cupana extract - Centella asiatica extract
Seropipe,seropipe hair shampoo,"Intense Nutrition shampoo enforced with Japanese formulation to fight hair fall, Seropipe shampoo is suitable for treated and colored hair as it has Zero % Sulfate in its content, Intense Nutrition and Treated Hair Nourishment for Dry and Damaged Hair. HOW TO USE: 
Apply on wet hair during shower , lather and rinse with water thoroughly
3-4 Times Per Week.
PRODUCT BENEFITS:
Intense Nutrition and Treated Hair Nourishment.
Price:
The price of seropipe hair shampoo  varies depending on the retailer ,but it retails for around EGP 250-350.
Where to buy:
You can buy Seropipe Hair Shampoo from several places online, 
Additional information:
Seropipe Hair Shampoo is an intense nutrition shampoo formulated to fight hair loss.
It is suitable for all hair types, including treated and colored hair, because it contains 0% sulfate.
The shampoo is made with a Japanese formulation that includes Kamigen K & Kamigen E (natural Japanese herbs) and vitamins to reduce hair loss and nourish hair.
It also contains keratin for smoothing hair, wheat germ oil for moisturizing, caffeine for promoting hair growth, biotin for scalp health and hair growth, and Hinokitiol to prevent hair loss and stimulate scalp cells.",250-350EGP,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=32,Egypt,Health & Care,Shampoo - Hair Care - Health and Personal Care,NULL,"Hair shampoos typically don't contain significant nutritional value. You can leave the ""Nutritional Information"" section blank.
Look for an ingredients list online or on the product packaging. Common ingredients might include:
Kamigen K & E extracts (Sophora Angustifolia and Isodon Trichocarpus extracts) - for hair growth promotion and scalp nourishment
Vitamins (e.g., biotin) - to support healthy hair
Sulfate-free cleansers - gentle cleansing for colored hair - Moisturizing agents - for hydration and manageability - Caffeine (optional) - may stimulate hair growth"
